Therapiestelle;Kanton;Ort;PLZ;Adresse;Tel.;E-Mail;Homepage;Spezialisierung;lat;lon
Osteopathie Baumberger;SG;Altstätten;9450;Heidenerstrasse 51;071 722 24 42;termine@osteopathie-baumberger.ch;www.osteopathie-baumberger.ch;Osteopathie;47.39152145;9.550647736
Therapiestelle für Kinder und Jugendliche Altstätten;SG;Altstätten;9450;Churerstrasse 39a;071 755 60 11;therapiestelle-sg@hin.ch;www.therapiestelle-sg.ch;;47.39152145;9.550647736
Stiftung RGZ Therapiestelle: Frühberatung und Therapie;ZH;Altstetten;8048;Rautistrasse 75;079 875 59 24;regina.stahel@stiftung-rgz.ch;www.stiftung-rgz.ch;COPCA, Skoliose;47.3866806;8.483811378
Part Amriswil;TG;Amriswil;8580;Nordstrasse 7;071 411 69 39;kinder@part-amriswil.ch ;www.part-amriswil.ch;Osteopathie;47.54063797;9.296725273
Therapiestelle Tempelacker;TG;Arbon;9320;Friedenstrasse 14;071 446 51 51;info@ghg-tempelacker.ch;www.tempelacker.ch;;47.53964615;9.463027
Kinderfisio;ZG;Baar;6340;Neuhofstrasse 3d;041 763 29 29;kinderfisio@physio-hin.ch;www.kinderfisio.ch;Beckenboden, CF;47.19745636;8.531052589
Frühberatungs- und Therapiestelle für Kinder;SZ;Brunnen;6440;Bahnhofstrasse 53;041 820 47 88;ftsk@hin.ch;www.ftsk.ch;;46.99464417;8.592679024
kinderphysio Buchs;SG;Buchs;9470;Bahnhofstrasse 43;077 416 72 87;"rianne@kinderphysio-buchs.ch ; bianca@kinderphysio-buchs.ch";www.kinderphysio-buchs.ch;;47.16503906;9.475844383
Therapiestelle für Kinder und Jugendliche Buchs;SG;Buchs;9470;Wiedenstrasse 52C;081 756 47 54;therapiestelle-sg@hin.ch;www.therapiestelle-sg.ch;;47.16503906;9.475844383
Stiftung RGZ Therapiestelle: Frühberatung und Therapie;ZH;Bülach;8180;Sonnenhof 1;058 307 17 21;therapiestelle-buelach@stiftung-rgz.ch;www.stiftung-rgz.ch;Skoliose, CF;47.53010559;8.541247368
Stiftung RGZ Therapiestelle: Frühberatung und Therapie;ZH;Bülach;8180;Sonnenhof 1;058 307 17 21;maya.gnaedinger@stiftung-rgz.ch;www.stiftung-rgz.ch;Skoliose, CF;47.53010559;8.541247368
Kantonsspital Graubünden Physiotherapie (Kinder);GR;Chur ;7000;Loesstrasse 170;081 256 65 60;dispo.physio@ksgr.ch;www.ksgr.ch;Skoliose, CF;46.85295105;9.529774666
Kinderphysiotherapeutin Marquerithe Barrée Deplazes  ;GR;Chur ;7000;Giacomettistrasse 102;081  353 87 44;m.barree@bluewin.ch;;Beckenboden;46.85295105;9.529774666
